"Timestamp","How busy were you when you received the email?","How stressed were you feeling at the moment you clicked the link?","How many other tasks were you juggling at the time?","What made you click the link","Before today, how confident were you that you could spot a phishing email?"
"2026/05/09 3:17:00 AM GMT+1","Slightly busy","Slightly stressed","3-5 other tasks","I thought the email was genuine","Quite confident"
"2026/05/09 6:34:23 AM GMT+1","Moderately busy","Slightly stressed","1-2 other tasks","I thought the email was genuine","Slightly confident"
"2026/05/09 1:12:27 PM GMT+1","Moderately busy","Very calm and relaxed","3-5 other tasks","The email looked official / professional","Moderately confident"
"2026/05/09 1:19:50 PM GMT+1","Moderately busy","Very calm and relaxed","3-5 other tasks","The email looked official / professional","Moderately confident"
"2026/05/09 2:22:12 PM GMT+1","Extremely busy/Overwhelmed","Very stressed","More than 5 tasks","I was in a rush and didn't stop to think","Extremely confident - I thought i'd never fall for one"
"2026/05/09 5:16:34 PM GMT+1","Moderately busy","Quite stressed","1-2 other tasks","I was curious about what it said","Slightly confident"
"2026/05/09 8:22:09 PM GMT+1","Slightly busy","Very calm and relaxed","1-2 other tasks","I was curious about what it said","Quite confident"
"2026/05/09 11:46:39 PM GMT+1","Slightly busy","Moderately stressed","1-2 other tasks","I was curious about what it said","Moderately confident"
"2026/05/11 5:49:46 AM GMT+1","Very busy, juggling multiple things","Quite stressed","1-2 other tasks","I thought the email was genuine;I was in a rush and didn't stop to think;I was curious about what it said","Quite confident"
"2026/05/11 5:52:28 AM GMT+1","Very busy, juggling multiple things","Quite stressed","3-5 other tasks","I thought the email was genuine;I was in a rush and didn't stop to think;I was curious about what it said;I clicked automatically without really thinking","Quite confident"
"2026/05/11 5:54:11 AM GMT+1","Extremely busy/Overwhelmed","Very stressed","3-5 other tasks","I thought the email was genuine;I was in a rush and didn't stop to think;I was curious about what it said","Quite confident"
